   1: max:0.179, min:0.000, mean:0.057
   2: max:0.179, min:0.000, mean:0.073
   3: max:0.179, min:0.036, mean:0.090
   4: max:0.214, min:0.036, mean:0.115
   5: max:0.214, min:0.036, mean:0.133
   6: max:0.214, min:0.071, mean:0.150
   7: max:0.214, min:0.107, mean:0.164
   8: max:0.214, min:0.107, mean:0.167
   9: max:0.214, min:0.071, mean:0.181
  10: max:0.250, min:0.107, mean:0.183
  11: max:0.250, min:0.143, mean:0.194
  12: max:0.250, min:0.143, mean:0.198
  13: max:0.250, min:0.143, mean:0.207
  14: max:0.286, min:0.143, mean:0.210
  15: max:0.286, min:0.143, mean:0.215
  16: max:0.286, min:0.143, mean:0.225
  17: max:0.286, min:0.179, mean:0.233
  18: max:0.321, min:0.107, mean:0.245
  19: max:0.286, min:0.179, mean:0.252
  20: max:0.321, min:0.179, mean:0.255
  21: max:0.321, min:0.179, mean:0.262
  22: max:0.321, min:0.214, mean:0.266
  23: max:0.357, min:0.179, mean:0.274
  24: max:0.357, min:0.179, mean:0.281
  25: max:0.357, min:0.179, mean:0.289
  26: max:0.393, min:0.179, mean:0.298
  27: max:0.393, min:0.214, mean:0.304
  28: max:0.393, min:0.250, mean:0.314
  29: max:0.393, min:0.214, mean:0.320
  30: max:0.393, min:0.250, mean:0.322
  31: max:0.393, min:0.250, mean:0.329
  32: max:0.393, min:0.214, mean:0.336
  33: max:0.393, min:0.250, mean:0.340
  34: max:0.393, min:0.250, mean:0.341
  35: max:0.393, min:0.286, mean:0.342
  36: max:0.429, min:0.250, mean:0.339
  37: max:0.429, min:0.286, mean:0.346
  38: max:0.429, min:0.250, mean:0.348
  39: max:0.393, min:0.214, mean:0.347
  40: max:0.393, min:0.250, mean:0.352
  41: max:0.393, min:0.250, mean:0.356
  42: max:0.393, min:0.250, mean:0.362
  43: max:0.429, min:0.321, mean:0.371
  44: max:0.429, min:0.286, mean:0.375
  45: max:0.429, min:0.286, mean:0.381
  46: max:0.464, min:0.321, mean:0.384
  47: max:0.464, min:0.286, mean:0.378
  48: max:0.464, min:0.286, mean:0.380
  49: max:0.429, min:0.286, mean:0.378
  50: max:0.429, min:0.286, mean:0.383
  51: max:0.429, min:0.250, mean:0.385
  52: max:0.429, min:0.286, mean:0.391
  53: max:0.464, min:0.286, mean:0.394
  54: max:0.464, min:0.321, mean:0.402
  55: max:0.464, min:0.321, mean:0.397
  56: max:0.464, min:0.321, mean:0.404
  57: max:0.464, min:0.321, mean:0.408
  58: max:0.464, min:0.286, mean:0.408
  59: max:0.464, min:0.286, mean:0.410
  60: max:0.464, min:0.321, mean:0.415
  61: max:0.464, min:0.357, mean:0.421
  62: max:0.464, min:0.286, mean:0.425
  63: max:0.500, min:0.321, mean:0.433
  64: max:0.500, min:0.357, mean:0.440
  65: max:0.500, min:0.321, mean:0.439
  66: max:0.500, min:0.357, mean:0.440
  67: max:0.500, min:0.357, mean:0.441
  68: max:0.500, min:0.357, mean:0.440
  69: max:0.500, min:0.357, mean:0.439
  70: max:0.536, min:0.321, mean:0.445
  71: max:0.536, min:0.357, mean:0.449
  72: max:0.536, min:0.357, mean:0.450
  73: max:0.500, min:0.357, mean:0.450
  74: max:0.500, min:0.357, mean:0.451
  75: max:0.500, min:0.357, mean:0.450
  76: max:0.500, min:0.357, mean:0.454
  77: max:0.500, min:0.357, mean:0.458
  78: max:0.536, min:0.357, mean:0.458
  79: max:0.500, min:0.357, mean:0.458
  80: max:0.536, min:0.357, mean:0.455
  81: max:0.500, min:0.393, mean:0.465
  82: max:0.536, min:0.357, mean:0.466
  83: max:0.500, min:0.357, mean:0.466
  84: max:0.536, min:0.393, mean:0.463
  85: max:0.536, min:0.393, mean:0.470
  86: max:0.536, min:0.357, mean:0.472
  87: max:0.536, min:0.357, mean:0.464
  88: max:0.536, min:0.357, mean:0.465
  89: max:0.536, min:0.357, mean:0.466
  90: max:0.536, min:0.357, mean:0.466
  91: max:0.500, min:0.357, mean:0.461
  92: max:0.536, min:0.357, mean:0.463
  93: max:0.536, min:0.357, mean:0.466
  94: max:0.536, min:0.357, mean:0.467
  95: max:0.536, min:0.393, mean:0.472
  96: max:0.536, min:0.393, mean:0.470
  97: max:0.536, min:0.357, mean:0.476
  98: max:0.536, min:0.357, mean:0.474
  99: max:0.536, min:0.393, mean:0.490
 100: max:0.536, min:0.357, mean:0.494
 101: max:0.536, min:0.393, mean:0.500
 102: max:0.571, min:0.429, mean:0.504
 103: max:0.536, min:0.393, mean:0.502
 104: max:0.571, min:0.393, mean:0.501
 105: max:0.536, min:0.429, mean:0.503
 106: max:0.536, min:0.429, mean:0.504
 107: max:0.536, min:0.429, mean:0.502
 108: max:0.536, min:0.393, mean:0.494
 109: max:0.536, min:0.393, mean:0.495
 110: max:0.536, min:0.393, mean:0.496
 111: max:0.536, min:0.393, mean:0.497
 112: max:0.536, min:0.393, mean:0.497
 113: max:0.536, min:0.429, mean:0.500
 114: max:0.571, min:0.429, mean:0.504
 115: max:0.536, min:0.429, mean:0.499
 116: max:0.571, min:0.357, mean:0.501
 117: max:0.571, min:0.393, mean:0.500
 118: max:0.571, min:0.393, mean:0.505
 119: max:0.571, min:0.357, mean:0.500
 120: max:0.571, min:0.393, mean:0.500
 121: max:0.571, min:0.429, mean:0.503
 122: max:0.571, min:0.393, mean:0.509
 123: max:0.571, min:0.393, mean:0.506
 124: max:0.571, min:0.429, mean:0.507
 125: max:0.536, min:0.429, mean:0.505
 126: max:0.536, min:0.429, mean:0.505
 127: max:0.536, min:0.393, mean:0.502
 128: max:0.536, min:0.429, mean:0.501
 129: max:0.536, min:0.357, mean:0.498
 130: max:0.571, min:0.393, mean:0.498
 131: max:0.571, min:0.429, mean:0.505
 132: max:0.571, min:0.393, mean:0.507
 133: max:0.571, min:0.393, mean:0.506
 134: max:0.571, min:0.393, mean:0.504
 135: max:0.571, min:0.393, mean:0.506
 136: max:0.571, min:0.393, mean:0.506
 137: max:0.571, min:0.357, mean:0.510
 138: max:0.571, min:0.429, mean:0.514
 139: max:0.571, min:0.429, mean:0.518
 140: max:0.607, min:0.429, mean:0.526
 141: max:0.607, min:0.429, mean:0.532
 142: max:0.607, min:0.464, mean:0.544
 143: max:0.643, min:0.464, mean:0.548
 144: max:0.643, min:0.464, mean:0.548
 145: max:0.607, min:0.429, mean:0.546
 146: max:0.607, min:0.429, mean:0.536
 147: max:0.607, min:0.464, mean:0.543
 148: max:0.607, min:0.429, mean:0.539
 149: max:0.607, min:0.429, mean:0.539
 150: max:0.607, min:0.429, mean:0.537
 151: max:0.643, min:0.464, mean:0.547
 152: max:0.643, min:0.429, mean:0.555
 153: max:0.643, min:0.464, mean:0.558
 154: max:0.643, min:0.464, mean:0.562
 155: max:0.643, min:0.429, mean:0.563
 156: max:0.643, min:0.429, mean:0.566
 157: max:0.643, min:0.393, mean:0.567
 158: max:0.643, min:0.464, mean:0.576
 159: max:0.643, min:0.500, mean:0.576
 160: max:0.643, min:0.429, mean:0.573
 161: max:0.643, min:0.464, mean:0.575
 162: max:0.643, min:0.464, mean:0.576
 163: max:0.643, min:0.464, mean:0.576
 164: max:0.643, min:0.464, mean:0.570
 165: max:0.643, min:0.429, mean:0.573
 166: max:0.643, min:0.464, mean:0.574
 167: max:0.643, min:0.429, mean:0.575
 168: max:0.679, min:0.464, mean:0.569
 169: max:0.643, min:0.464, mean:0.565
 170: max:0.643, min:0.464, mean:0.566
 171: max:0.607, min:0.500, mean:0.564
 172: max:0.607, min:0.429, mean:0.559
 173: max:0.607, min:0.464, mean:0.557
 174: max:0.607, min:0.429, mean:0.556
