   1: max:0.179, min:0.000, mean:0.052
   2: max:0.179, min:0.000, mean:0.073
   3: max:0.179, min:0.000, mean:0.098
   4: max:0.179, min:0.036, mean:0.117
   5: max:0.214, min:0.071, mean:0.130
   6: max:0.214, min:0.071, mean:0.143
   7: max:0.250, min:0.071, mean:0.151
   8: max:0.250, min:0.071, mean:0.167
   9: max:0.286, min:0.107, mean:0.186
  10: max:0.286, min:0.107, mean:0.198
  11: max:0.286, min:0.107, mean:0.207
  12: max:0.286, min:0.143, mean:0.219
  13: max:0.321, min:0.143, mean:0.232
  14: max:0.321, min:0.179, mean:0.249
  15: max:0.321, min:0.179, mean:0.254
  16: max:0.321, min:0.179, mean:0.263
  17: max:0.321, min:0.179, mean:0.271
  18: max:0.321, min:0.179, mean:0.273
  19: max:0.357, min:0.179, mean:0.275
  20: max:0.357, min:0.214, mean:0.284
  21: max:0.357, min:0.214, mean:0.299
  22: max:0.393, min:0.214, mean:0.297
  23: max:0.393, min:0.214, mean:0.303
  24: max:0.393, min:0.214, mean:0.313
  25: max:0.393, min:0.250, mean:0.330
  26: max:0.393, min:0.214, mean:0.339
  27: max:0.393, min:0.250, mean:0.343
  28: max:0.429, min:0.286, mean:0.352
  29: max:0.429, min:0.250, mean:0.357
  30: max:0.429, min:0.286, mean:0.361
  31: max:0.429, min:0.286, mean:0.371
  32: max:0.464, min:0.286, mean:0.380
  33: max:0.500, min:0.286, mean:0.380
  34: max:0.464, min:0.321, mean:0.390
  35: max:0.464, min:0.286, mean:0.394
  36: max:0.464, min:0.321, mean:0.396
  37: max:0.464, min:0.321, mean:0.402
  38: max:0.464, min:0.286, mean:0.410
  39: max:0.464, min:0.321, mean:0.414
  40: max:0.464, min:0.357, mean:0.418
  41: max:0.500, min:0.286, mean:0.420
  42: max:0.464, min:0.357, mean:0.424
  43: max:0.500, min:0.357, mean:0.432
  44: max:0.500, min:0.286, mean:0.432
  45: max:0.500, min:0.321, mean:0.437
  46: max:0.536, min:0.321, mean:0.431
  47: max:0.536, min:0.357, mean:0.444
  48: max:0.536, min:0.321, mean:0.456
  49: max:0.536, min:0.393, mean:0.472
  50: max:0.536, min:0.357, mean:0.475
  51: max:0.536, min:0.357, mean:0.475
  52: max:0.536, min:0.393, mean:0.475
  53: max:0.536, min:0.393, mean:0.475
  54: max:0.536, min:0.357, mean:0.476
  55: max:0.536, min:0.357, mean:0.472
  56: max:0.536, min:0.357, mean:0.478
  57: max:0.571, min:0.357, mean:0.483
  58: max:0.571, min:0.393, mean:0.486
  59: max:0.571, min:0.357, mean:0.481
  60: max:0.571, min:0.393, mean:0.491
  61: max:0.571, min:0.393, mean:0.500
  62: max:0.571, min:0.393, mean:0.508
  63: max:0.571, min:0.357, mean:0.512
  64: max:0.571, min:0.429, mean:0.517
  65: max:0.607, min:0.429, mean:0.521
  66: max:0.607, min:0.429, mean:0.520
  67: max:0.607, min:0.393, mean:0.524
  68: max:0.607, min:0.393, mean:0.531
  69: max:0.607, min:0.429, mean:0.540
  70: max:0.607, min:0.429, mean:0.541
  71: max:0.607, min:0.393, mean:0.540
  72: max:0.607, min:0.464, mean:0.541
  73: max:0.607, min:0.393, mean:0.537
  74: max:0.607, min:0.429, mean:0.542
  75: max:0.643, min:0.429, mean:0.547
  76: max:0.643, min:0.429, mean:0.544
  77: max:0.643, min:0.464, mean:0.553
  78: max:0.643, min:0.464, mean:0.549
  79: max:0.643, min:0.464, mean:0.553
  80: max:0.679, min:0.429, mean:0.569
  81: max:0.679, min:0.464, mean:0.573
  82: max:0.643, min:0.464, mean:0.579
  83: max:0.643, min:0.464, mean:0.582
  84: max:0.643, min:0.500, mean:0.587
  85: max:0.714, min:0.464, mean:0.593
  86: max:0.714, min:0.500, mean:0.590
  87: max:0.679, min:0.500, mean:0.589
  88: max:0.679, min:0.500, mean:0.591
  89: max:0.679, min:0.464, mean:0.589
  90: max:0.679, min:0.500, mean:0.590
  91: max:0.679, min:0.500, mean:0.588
  92: max:0.714, min:0.464, mean:0.595
  93: max:0.679, min:0.464, mean:0.598
  94: max:0.714, min:0.500, mean:0.608
  95: max:0.679, min:0.464, mean:0.604
  96: max:0.679, min:0.500, mean:0.612
  97: max:0.679, min:0.500, mean:0.609
  98: max:0.679, min:0.500, mean:0.612
  99: max:0.679, min:0.500, mean:0.613
 100: max:0.679, min:0.500, mean:0.608
 101: max:0.679, min:0.464, mean:0.605
 102: max:0.679, min:0.464, mean:0.608
 103: max:0.679, min:0.536, mean:0.607
 104: max:0.679, min:0.500, mean:0.610
 105: max:0.679, min:0.500, mean:0.612
 106: max:0.679, min:0.500, mean:0.604
 107: max:0.679, min:0.500, mean:0.600
 108: max:0.679, min:0.393, mean:0.601
 109: max:0.679, min:0.464, mean:0.607
 110: max:0.679, min:0.500, mean:0.610
 111: max:0.679, min:0.536, mean:0.609
 112: max:0.679, min:0.536, mean:0.609
 113: max:0.679, min:0.500, mean:0.602
 114: max:0.679, min:0.429, mean:0.601
 115: max:0.679, min:0.464, mean:0.597
 116: max:0.679, min:0.393, mean:0.596
 117: max:0.679, min:0.500, mean:0.601
 118: max:0.679, min:0.500, mean:0.600
 119: max:0.679, min:0.464, mean:0.604
 120: max:0.679, min:0.536, mean:0.616
 121: max:0.714, min:0.500, mean:0.616
 122: max:0.679, min:0.464, mean:0.618
 123: max:0.679, min:0.500, mean:0.621
 124: max:0.679, min:0.500, mean:0.620
 125: max:0.679, min:0.536, mean:0.621
 126: max:0.679, min:0.536, mean:0.612
 127: max:0.714, min:0.500, mean:0.615
 128: max:0.714, min:0.500, mean:0.616
 129: max:0.679, min:0.536, mean:0.614
 130: max:0.679, min:0.536, mean:0.615
 131: max:0.679, min:0.464, mean:0.614
 132: max:0.679, min:0.536, mean:0.612
 133: max:0.679, min:0.500, mean:0.611
 134: max:0.679, min:0.500, mean:0.604
 135: max:0.679, min:0.500, mean:0.611
 136: max:0.679, min:0.536, mean:0.618
 137: max:0.714, min:0.500, mean:0.620
 138: max:0.679, min:0.464, mean:0.623
 139: max:0.679, min:0.500, mean:0.622
 140: max:0.679, min:0.536, mean:0.622
 141: max:0.679, min:0.500, mean:0.622
 142: max:0.679, min:0.536, mean:0.621
 143: max:0.679, min:0.500, mean:0.616
 144: max:0.679, min:0.500, mean:0.609
 145: max:0.679, min:0.536, mean:0.613
 146: max:0.679, min:0.500, mean:0.614
 147: max:0.679, min:0.500, mean:0.611
 148: max:0.679, min:0.464, mean:0.606
 149: max:0.643, min:0.500, mean:0.607
 150: max:0.643, min:0.500, mean:0.608
 151: max:0.643, min:0.500, mean:0.605
 152: max:0.643, min:0.500, mean:0.603
 153: max:0.679, min:0.500, mean:0.600
 154: max:0.679, min:0.429, mean:0.606
 155: max:0.679, min:0.500, mean:0.600
 156: max:0.679, min:0.464, mean:0.601
 157: max:0.679, min:0.429, mean:0.602
 158: max:0.679, min:0.500, mean:0.608
 159: max:0.679, min:0.464, mean:0.604
 160: max:0.679, min:0.500, mean:0.607
 161: max:0.679, min:0.500, mean:0.610
 162: max:0.679, min:0.500, mean:0.608
 163: max:0.679, min:0.536, mean:0.612
 164: max:0.679, min:0.429, mean:0.614
 165: max:0.679, min:0.500, mean:0.609
 166: max:0.679, min:0.500, mean:0.601
 167: max:0.679, min:0.464, mean:0.597
 168: max:0.679, min:0.464, mean:0.602
 169: max:0.679, min:0.464, mean:0.602
 170: max:0.714, min:0.500, mean:0.609
 171: max:0.679, min:0.536, mean:0.609
 172: max:0.679, min:0.500, mean:0.613
 173: max:0.679, min:0.500, mean:0.614
 174: max:0.679, min:0.500, mean:0.615
 175: max:0.679, min:0.464, mean:0.615
 176: max:0.679, min:0.536, mean:0.626
 177: max:0.714, min:0.500, mean:0.622
 178: max:0.679, min:0.500, mean:0.624
 179: max:0.679, min:0.500, mean:0.619
 180: max:0.714, min:0.536, mean:0.623
 181: max:0.679, min:0.536, mean:0.621
 182: max:0.679, min:0.500, mean:0.621
 183: max:0.714, min:0.464, mean:0.627
 184: max:0.714, min:0.536, mean:0.621
 185: max:0.714, min:0.500, mean:0.619
 186: max:0.714, min:0.500, mean:0.616
 187: max:0.714, min:0.464, mean:0.611
 188: max:0.714, min:0.500, mean:0.612
 189: max:0.714, min:0.429, mean:0.611
 190: max:0.714, min:0.500, mean:0.615
 191: max:0.714, min:0.536, mean:0.621
 192: max:0.714, min:0.500, mean:0.621
 193: max:0.714, min:0.536, mean:0.616
 194: max:0.714, min:0.536, mean:0.615
 195: max:0.714, min:0.500, mean:0.615
 196: max:0.714, min:0.464, mean:0.625
 197: max:0.714, min:0.500, mean:0.622
 198: max:0.714, min:0.500, mean:0.626
 199: max:0.714, min:0.464, mean:0.632
 200: max:0.714, min:0.536, mean:0.637
 201: max:0.714, min:0.536, mean:0.638
 202: max:0.714, min:0.536, mean:0.642
 203: max:0.714, min:0.536, mean:0.642
 204: max:0.714, min:0.500, mean:0.640
 205: max:0.750, min:0.500, mean:0.635
 206: max:0.714, min:0.500, mean:0.628
 207: max:0.714, min:0.536, mean:0.624
 208: max:0.714, min:0.500, mean:0.623
 209: max:0.714, min:0.500, mean:0.625
 210: max:0.714, min:0.500, mean:0.623
 211: max:0.714, min:0.464, mean:0.621
 212: max:0.679, min:0.464, mean:0.617
 213: max:0.679, min:0.536, mean:0.621
 214: max:0.679, min:0.536, mean:0.618
 215: max:0.679, min:0.536, mean:0.625
 216: max:0.714, min:0.500, mean:0.616
 217: max:0.679, min:0.500, mean:0.616
 218: max:0.679, min:0.464, mean:0.615
 219: max:0.679, min:0.500, mean:0.619
 220: max:0.679, min:0.464, mean:0.615
 221: max:0.679, min:0.536, mean:0.620
 222: max:0.679, min:0.500, mean:0.619
 223: max:0.714, min:0.536, mean:0.616
 224: max:0.714, min:0.536, mean:0.620
 225: max:0.679, min:0.500, mean:0.620
 226: max:0.679, min:0.500, mean:0.618
 227: max:0.679, min:0.536, mean:0.615
 228: max:0.679, min:0.500, mean:0.609
 229: max:0.679, min:0.500, mean:0.615
 230: max:0.679, min:0.464, mean:0.613
 231: max:0.679, min:0.500, mean:0.606
 232: max:0.679, min:0.500, mean:0.608
 233: max:0.679, min:0.536, mean:0.604
 234: max:0.643, min:0.464, mean:0.595
 235: max:0.643, min:0.464, mean:0.590
 236: max:0.643, min:0.500, mean:0.585
 237: max:0.643, min:0.464, mean:0.584
 238: max:0.643, min:0.500, mean:0.580
 239: max:0.643, min:0.500, mean:0.581
 240: max:0.643, min:0.429, mean:0.579
 241: max:0.643, min:0.464, mean:0.578
 242: max:0.643, min:0.500, mean:0.585
 243: max:0.643, min:0.500, mean:0.586
 244: max:0.643, min:0.464, mean:0.581
 245: max:0.643, min:0.464, mean:0.582
 246: max:0.679, min:0.464, mean:0.577
 247: max:0.679, min:0.500, mean:0.584
 248: max:0.679, min:0.464, mean:0.583
 249: max:0.679, min:0.464, mean:0.587
 250: max:0.679, min:0.429, mean:0.599
