   1: max:0.107, min:0.000, mean:0.038
   2: max:0.107, min:0.000, mean:0.055
   3: max:0.107, min:0.000, mean:0.071
   4: max:0.107, min:0.036, mean:0.079
   5: max:0.143, min:0.036, mean:0.090
   6: max:0.143, min:0.071, mean:0.096
   7: max:0.143, min:0.036, mean:0.104
   8: max:0.179, min:0.071, mean:0.114
   9: max:0.214, min:0.071, mean:0.124
  10: max:0.214, min:0.036, mean:0.133
  11: max:0.214, min:0.071, mean:0.145
  12: max:0.214, min:0.071, mean:0.158
  13: max:0.214, min:0.107, mean:0.171
  14: max:0.214, min:0.107, mean:0.180
  15: max:0.214, min:0.143, mean:0.185
  16: max:0.250, min:0.107, mean:0.190
  17: max:0.250, min:0.143, mean:0.199
  18: max:0.250, min:0.143, mean:0.208
  19: max:0.286, min:0.143, mean:0.213
  20: max:0.250, min:0.143, mean:0.217
  21: max:0.250, min:0.143, mean:0.222
  22: max:0.286, min:0.179, mean:0.231
  23: max:0.286, min:0.179, mean:0.234
  24: max:0.286, min:0.179, mean:0.239
  25: max:0.321, min:0.179, mean:0.245
  26: max:0.321, min:0.179, mean:0.247
  27: max:0.321, min:0.143, mean:0.257
  28: max:0.321, min:0.179, mean:0.259
  29: max:0.357, min:0.179, mean:0.270
  30: max:0.357, min:0.214, mean:0.279
  31: max:0.357, min:0.214, mean:0.289
  32: max:0.357, min:0.214, mean:0.290
  33: max:0.357, min:0.214, mean:0.295
  34: max:0.393, min:0.250, mean:0.301
  35: max:0.357, min:0.214, mean:0.307
  36: max:0.357, min:0.214, mean:0.315
  37: max:0.357, min:0.250, mean:0.315
  38: max:0.357, min:0.214, mean:0.324
  39: max:0.357, min:0.250, mean:0.328
  40: max:0.393, min:0.250, mean:0.330
  41: max:0.393, min:0.250, mean:0.332
  42: max:0.393, min:0.214, mean:0.335
  43: max:0.393, min:0.250, mean:0.339
  44: max:0.429, min:0.250, mean:0.344
  45: max:0.429, min:0.250, mean:0.351
  46: max:0.429, min:0.214, mean:0.355
  47: max:0.464, min:0.250, mean:0.369
  48: max:0.464, min:0.286, mean:0.379
  49: max:0.464, min:0.286, mean:0.391
  50: max:0.464, min:0.250, mean:0.392
  51: max:0.464, min:0.286, mean:0.399
  52: max:0.464, min:0.286, mean:0.404
  53: max:0.464, min:0.321, mean:0.407
  54: max:0.464, min:0.321, mean:0.406
  55: max:0.500, min:0.286, mean:0.409
  56: max:0.500, min:0.321, mean:0.417
  57: max:0.500, min:0.286, mean:0.422
  58: max:0.500, min:0.357, mean:0.417
  59: max:0.464, min:0.321, mean:0.408
  60: max:0.464, min:0.321, mean:0.409
  61: max:0.464, min:0.321, mean:0.411
  62: max:0.464, min:0.321, mean:0.417
  63: max:0.464, min:0.321, mean:0.414
  64: max:0.500, min:0.286, mean:0.411
  65: max:0.500, min:0.321, mean:0.416
  66: max:0.500, min:0.321, mean:0.419
  67: max:0.500, min:0.250, mean:0.420
  68: max:0.500, min:0.321, mean:0.422
  69: max:0.500, min:0.357, mean:0.433
  70: max:0.500, min:0.321, mean:0.430
  71: max:0.500, min:0.357, mean:0.435
  72: max:0.500, min:0.357, mean:0.435
  73: max:0.536, min:0.357, mean:0.441
  74: max:0.500, min:0.357, mean:0.442
  75: max:0.536, min:0.321, mean:0.442
  76: max:0.536, min:0.357, mean:0.451
  77: max:0.536, min:0.393, mean:0.454
  78: max:0.571, min:0.357, mean:0.465
  79: max:0.571, min:0.321, mean:0.474
  80: max:0.571, min:0.393, mean:0.482
  81: max:0.571, min:0.393, mean:0.491
  82: max:0.571, min:0.393, mean:0.495
  83: max:0.571, min:0.393, mean:0.497
  84: max:0.571, min:0.357, mean:0.494
  85: max:0.571, min:0.357, mean:0.504
  86: max:0.571, min:0.393, mean:0.509
  87: max:0.571, min:0.393, mean:0.517
  88: max:0.571, min:0.429, mean:0.521
  89: max:0.571, min:0.393, mean:0.520
  90: max:0.571, min:0.429, mean:0.522
  91: max:0.571, min:0.429, mean:0.522
  92: max:0.571, min:0.429, mean:0.520
  93: max:0.571, min:0.393, mean:0.514
  94: max:0.607, min:0.429, mean:0.522
  95: max:0.607, min:0.429, mean:0.531
  96: max:0.607, min:0.357, mean:0.537
  97: max:0.607, min:0.393, mean:0.530
  98: max:0.607, min:0.393, mean:0.533
  99: max:0.571, min:0.393, mean:0.530
 100: max:0.571, min:0.357, mean:0.531
 101: max:0.571, min:0.464, mean:0.534
 102: max:0.607, min:0.429, mean:0.535
 103: max:0.607, min:0.464, mean:0.537
 104: max:0.607, min:0.429, mean:0.531
 105: max:0.607, min:0.429, mean:0.533
 106: max:0.607, min:0.429, mean:0.539
 107: max:0.607, min:0.393, mean:0.539
 108: max:0.607, min:0.429, mean:0.540
 109: max:0.643, min:0.393, mean:0.541
 110: max:0.607, min:0.429, mean:0.552
 111: max:0.607, min:0.464, mean:0.547
 112: max:0.607, min:0.464, mean:0.550
 113: max:0.607, min:0.429, mean:0.542
 114: max:0.607, min:0.393, mean:0.542
 115: max:0.607, min:0.393, mean:0.551
 116: max:0.607, min:0.464, mean:0.551
 117: max:0.607, min:0.429, mean:0.551
 118: max:0.607, min:0.464, mean:0.556
 119: max:0.607, min:0.429, mean:0.566
 120: max:0.607, min:0.464, mean:0.564
 121: max:0.607, min:0.464, mean:0.570
 122: max:0.643, min:0.464, mean:0.570
 123: max:0.607, min:0.464, mean:0.567
 124: max:0.607, min:0.464, mean:0.567
 125: max:0.643, min:0.464, mean:0.562
 126: max:0.643, min:0.464, mean:0.565
 127: max:0.679, min:0.429, mean:0.570
 128: max:0.643, min:0.464, mean:0.571
 129: max:0.643, min:0.429, mean:0.575
 130: max:0.679, min:0.500, mean:0.575
 131: max:0.679, min:0.464, mean:0.571
 132: max:0.679, min:0.393, mean:0.578
 133: max:0.679, min:0.464, mean:0.578
 134: max:0.679, min:0.464, mean:0.576
 135: max:0.679, min:0.464, mean:0.582
 136: max:0.643, min:0.500, mean:0.588
 137: max:0.643, min:0.429, mean:0.595
 138: max:0.643, min:0.500, mean:0.590
 139: max:0.643, min:0.500, mean:0.595
 140: max:0.643, min:0.500, mean:0.592
 141: max:0.679, min:0.464, mean:0.595
 142: max:0.643, min:0.393, mean:0.597
 143: max:0.643, min:0.500, mean:0.589
 144: max:0.679, min:0.464, mean:0.591
 145: max:0.643, min:0.429, mean:0.592
 146: max:0.643, min:0.500, mean:0.591
 147: max:0.679, min:0.500, mean:0.597
 148: max:0.679, min:0.500, mean:0.594
 149: max:0.679, min:0.464, mean:0.595
 150: max:0.679, min:0.500, mean:0.596
 151: max:0.679, min:0.464, mean:0.597
 152: max:0.679, min:0.500, mean:0.598
 153: max:0.679, min:0.429, mean:0.596
 154: max:0.679, min:0.500, mean:0.597
 155: max:0.679, min:0.500, mean:0.599
 156: max:0.679, min:0.500, mean:0.604
 157: max:0.679, min:0.500, mean:0.607
 158: max:0.679, min:0.429, mean:0.606
 159: max:0.679, min:0.464, mean:0.602
 160: max:0.679, min:0.500, mean:0.605
 161: max:0.679, min:0.500, mean:0.613
 162: max:0.679, min:0.500, mean:0.611
 163: max:0.714, min:0.536, mean:0.612
 164: max:0.714, min:0.500, mean:0.608
 165: max:0.679, min:0.500, mean:0.602
 166: max:0.679, min:0.500, mean:0.600
 167: max:0.643, min:0.500, mean:0.600
 168: max:0.643, min:0.500, mean:0.598
 169: max:0.643, min:0.536, mean:0.605
 170: max:0.643, min:0.464, mean:0.596
 171: max:0.643, min:0.500, mean:0.595
 172: max:0.643, min:0.464, mean:0.598
 173: max:0.643, min:0.500, mean:0.595
 174: max:0.679, min:0.464, mean:0.592
 175: max:0.643, min:0.464, mean:0.591
 176: max:0.643, min:0.464, mean:0.589
 177: max:0.643, min:0.464, mean:0.590
 178: max:0.679, min:0.500, mean:0.588
 179: max:0.679, min:0.500, mean:0.596
 180: max:0.679, min:0.500, mean:0.598
 181: max:0.679, min:0.464, mean:0.595
 182: max:0.679, min:0.500, mean:0.595
 183: max:0.679, min:0.464, mean:0.589
 184: max:0.643, min:0.464, mean:0.581
 185: max:0.679, min:0.464, mean:0.588
 186: max:0.643, min:0.464, mean:0.590
 187: max:0.643, min:0.464, mean:0.588
 188: max:0.643, min:0.500, mean:0.590
 189: max:0.643, min:0.464, mean:0.587
 190: max:0.643, min:0.393, mean:0.586
 191: max:0.643, min:0.429, mean:0.594
 192: max:0.643, min:0.500, mean:0.591
 193: max:0.643, min:0.500, mean:0.591
 194: max:0.643, min:0.464, mean:0.585
 195: max:0.643, min:0.500, mean:0.581
 196: max:0.643, min:0.464, mean:0.574
 197: max:0.643, min:0.464, mean:0.574
 198: max:0.643, min:0.429, mean:0.576
 199: max:0.643, min:0.500, mean:0.574
 200: max:0.643, min:0.464, mean:0.568
 201: max:0.714, min:0.464, mean:0.569
 202: max:0.714, min:0.464, mean:0.575
 203: max:0.714, min:0.464, mean:0.575
 204: max:0.714, min:0.464, mean:0.589
 205: max:0.714, min:0.464, mean:0.591
 206: max:0.714, min:0.464, mean:0.600
 207: max:0.714, min:0.464, mean:0.600
 208: max:0.714, min:0.464, mean:0.608
 209: max:0.714, min:0.464, mean:0.625
 210: max:0.714, min:0.536, mean:0.639
 211: max:0.714, min:0.536, mean:0.644
 212: max:0.714, min:0.536, mean:0.640
 213: max:0.714, min:0.500, mean:0.639
 214: max:0.750, min:0.536, mean:0.638
 215: max:0.750, min:0.536, mean:0.645
 216: max:0.750, min:0.500, mean:0.640
 217: max:0.750, min:0.536, mean:0.639
 218: max:0.750, min:0.571, mean:0.639
 219: max:0.750, min:0.464, mean:0.641
 220: max:0.714, min:0.500, mean:0.643
 221: max:0.714, min:0.571, mean:0.639
 222: max:0.679, min:0.536, mean:0.638
 223: max:0.679, min:0.500, mean:0.633
 224: max:0.679, min:0.536, mean:0.635
 225: max:0.679, min:0.571, mean:0.631
 226: max:0.679, min:0.536, mean:0.620
 227: max:0.714, min:0.429, mean:0.617
 228: max:0.714, min:0.464, mean:0.615
 229: max:0.714, min:0.500, mean:0.618
 230: max:0.679, min:0.536, mean:0.625
 231: max:0.679, min:0.500, mean:0.629
 232: max:0.714, min:0.536, mean:0.625
 233: max:0.679, min:0.500, mean:0.628
 234: max:0.679, min:0.536, mean:0.628
 235: max:0.679, min:0.536, mean:0.626
 236: max:0.679, min:0.536, mean:0.628
 237: max:0.679, min:0.536, mean:0.627
 238: max:0.679, min:0.536, mean:0.629
 239: max:0.679, min:0.500, mean:0.626
 240: max:0.679, min:0.500, mean:0.630
 241: max:0.679, min:0.536, mean:0.629
 242: max:0.679, min:0.536, mean:0.629
 243: max:0.679, min:0.500, mean:0.619
 244: max:0.679, min:0.464, mean:0.620
 245: max:0.679, min:0.500, mean:0.623
 246: max:0.679, min:0.536, mean:0.625
 247: max:0.679, min:0.500, mean:0.622
 248: max:0.679, min:0.500, mean:0.625
 249: max:0.679, min:0.500, mean:0.622
 250: max:0.679, min:0.500, mean:0.624
 251: max:0.714, min:0.536, mean:0.627
 252: max:0.714, min:0.500, mean:0.634
 253: max:0.714, min:0.500, mean:0.636
 254: max:0.714, min:0.536, mean:0.634
 255: max:0.714, min:0.536, mean:0.631
 256: max:0.714, min:0.500, mean:0.627
 257: max:0.714, min:0.500, mean:0.626
 258: max:0.714, min:0.500, mean:0.626
 259: max:0.714, min:0.536, mean:0.631
 260: max:0.714, min:0.536, mean:0.631
 261: max:0.750, min:0.536, mean:0.635
 262: max:0.750, min:0.500, mean:0.635
 263: max:0.750, min:0.500, mean:0.638
 264: max:0.750, min:0.536, mean:0.646
 265: max:0.714, min:0.536, mean:0.647
 266: max:0.714, min:0.536, mean:0.648
 267: max:0.714, min:0.536, mean:0.645
 268: max:0.714, min:0.536, mean:0.645
 269: max:0.714, min:0.536, mean:0.647
 270: max:0.714, min:0.500, mean:0.640
 271: max:0.714, min:0.536, mean:0.640
 272: max:0.714, min:0.571, mean:0.637
 273: max:0.714, min:0.500, mean:0.638
 274: max:0.714, min:0.500, mean:0.634
 275: max:0.679, min:0.536, mean:0.640
 276: max:0.679, min:0.571, mean:0.641
 277: max:0.679, min:0.571, mean:0.639
 278: max:0.714, min:0.571, mean:0.636
 279: max:0.714, min:0.500, mean:0.634
 280: max:0.679, min:0.464, mean:0.627
 281: max:0.679, min:0.536, mean:0.631
 282: max:0.679, min:0.536, mean:0.626
 283: max:0.679, min:0.500, mean:0.618
 284: max:0.679, min:0.536, mean:0.619
 285: max:0.679, min:0.536, mean:0.615
 286: max:0.679, min:0.500, mean:0.610
 287: max:0.679, min:0.536, mean:0.610
 288: max:0.679, min:0.500, mean:0.605
 289: max:0.679, min:0.500, mean:0.611
 290: max:0.679, min:0.500, mean:0.611
 291: max:0.679, min:0.464, mean:0.619
 292: max:0.679, min:0.500, mean:0.620
 293: max:0.679, min:0.464, mean:0.620
 294: max:0.679, min:0.500, mean:0.621
 295: max:0.679, min:0.500, mean:0.624
 296: max:0.679, min:0.536, mean:0.628
 297: max:0.679, min:0.536, mean:0.634
 298: max:0.679, min:0.536, mean:0.627
 299: max:0.679, min:0.500, mean:0.631
 300: max:0.679, min:0.500, mean:0.627
