   1: max:0.143, min:0.000, mean:0.064
   2: max:0.143, min:0.036, mean:0.089
   3: max:0.143, min:0.071, mean:0.105
   4: max:0.143, min:0.071, mean:0.115
   5: max:0.179, min:0.071, mean:0.133
   6: max:0.179, min:0.071, mean:0.142
   7: max:0.214, min:0.107, mean:0.159
   8: max:0.214, min:0.107, mean:0.176
   9: max:0.214, min:0.107, mean:0.191
  10: max:0.250, min:0.143, mean:0.207
  11: max:0.250, min:0.143, mean:0.208
  12: max:0.250, min:0.143, mean:0.216
  13: max:0.250, min:0.143, mean:0.228
  14: max:0.286, min:0.179, mean:0.242
  15: max:0.286, min:0.179, mean:0.246
  16: max:0.286, min:0.143, mean:0.252
  17: max:0.321, min:0.214, mean:0.268
  18: max:0.321, min:0.179, mean:0.278
  19: max:0.321, min:0.214, mean:0.283
  20: max:0.357, min:0.214, mean:0.295
  21: max:0.357, min:0.250, mean:0.309
  22: max:0.357, min:0.250, mean:0.318
  23: max:0.357, min:0.214, mean:0.325
  24: max:0.357, min:0.250, mean:0.338
  25: max:0.393, min:0.286, mean:0.345
  26: max:0.393, min:0.250, mean:0.350
  27: max:0.393, min:0.250, mean:0.356
  28: max:0.393, min:0.286, mean:0.371
  29: max:0.429, min:0.321, mean:0.377
  30: max:0.429, min:0.321, mean:0.383
  31: max:0.429, min:0.321, mean:0.383
  32: max:0.429, min:0.321, mean:0.382
  33: max:0.429, min:0.321, mean:0.384
  34: max:0.429, min:0.357, mean:0.397
  35: max:0.429, min:0.286, mean:0.402
  36: max:0.464, min:0.321, mean:0.413
  37: max:0.464, min:0.321, mean:0.415
  38: max:0.500, min:0.357, mean:0.417
  39: max:0.500, min:0.357, mean:0.426
  40: max:0.500, min:0.357, mean:0.443
  41: max:0.536, min:0.393, mean:0.455
  42: max:0.536, min:0.357, mean:0.464
  43: max:0.536, min:0.393, mean:0.475
  44: max:0.536, min:0.393, mean:0.485
  45: max:0.571, min:0.429, mean:0.501
  46: max:0.571, min:0.429, mean:0.514
  47: max:0.571, min:0.429, mean:0.524
  48: max:0.607, min:0.464, mean:0.538
  49: max:0.607, min:0.464, mean:0.549
  50: max:0.607, min:0.429, mean:0.551
  51: max:0.607, min:0.429, mean:0.559
  52: max:0.607, min:0.464, mean:0.568
  53: max:0.607, min:0.464, mean:0.578
  54: max:0.607, min:0.464, mean:0.584
  55: max:0.607, min:0.536, mean:0.590
  56: max:0.643, min:0.500, mean:0.584
  57: max:0.643, min:0.536, mean:0.583
  58: max:0.643, min:0.500, mean:0.584
  59: max:0.643, min:0.464, mean:0.591
  60: max:0.643, min:0.536, mean:0.595
  61: max:0.643, min:0.500, mean:0.601
  62: max:0.679, min:0.536, mean:0.610
  63: max:0.679, min:0.536, mean:0.622
  64: max:0.679, min:0.500, mean:0.627
  65: max:0.714, min:0.536, mean:0.632
  66: max:0.714, min:0.536, mean:0.639
  67: max:0.714, min:0.500, mean:0.649
  68: max:0.714, min:0.571, mean:0.661
  69: max:0.714, min:0.571, mean:0.665
  70: max:0.750, min:0.607, mean:0.679
  71: max:0.750, min:0.571, mean:0.682
  72: max:0.750, min:0.571, mean:0.687
  73: max:0.750, min:0.607, mean:0.690
  74: max:0.750, min:0.607, mean:0.691
  75: max:0.786, min:0.607, mean:0.696
  76: max:0.786, min:0.607, mean:0.699
  77: max:0.786, min:0.607, mean:0.723
  78: max:0.786, min:0.607, mean:0.731
  79: max:0.786, min:0.643, mean:0.740
  80: max:0.786, min:0.643, mean:0.744
  81: max:0.786, min:0.643, mean:0.750
  82: max:0.786, min:0.643, mean:0.756
  83: max:0.821, min:0.679, mean:0.761
  84: max:0.786, min:0.643, mean:0.759
  85: max:0.786, min:0.643, mean:0.752
  86: max:0.786, min:0.679, mean:0.754
  87: max:0.821, min:0.643, mean:0.748
  88: max:0.821, min:0.643, mean:0.755
  89: max:0.821, min:0.643, mean:0.757
  90: max:0.821, min:0.679, mean:0.766
  91: max:0.821, min:0.679, mean:0.765
  92: max:0.821, min:0.679, mean:0.778
  93: max:0.821, min:0.643, mean:0.780
  94: max:0.821, min:0.679, mean:0.787
  95: max:0.857, min:0.679, mean:0.787
  96: max:0.857, min:0.679, mean:0.791
  97: max:0.857, min:0.643, mean:0.792
  98: max:0.857, min:0.714, mean:0.795
  99: max:0.857, min:0.714, mean:0.790
 100: max:0.857, min:0.679, mean:0.793
 101: max:0.857, min:0.679, mean:0.799
 102: max:0.893, min:0.679, mean:0.801
 103: max:0.893, min:0.714, mean:0.809
 104: max:0.893, min:0.750, mean:0.823
 105: max:0.893, min:0.679, mean:0.821
 106: max:0.893, min:0.679, mean:0.826
 107: max:0.893, min:0.714, mean:0.831
 108: max:0.893, min:0.750, mean:0.833
 109: max:0.893, min:0.750, mean:0.837
 110: max:0.929, min:0.750, mean:0.848
 111: max:0.893, min:0.750, mean:0.854
 112: max:0.893, min:0.714, mean:0.859
 113: max:0.893, min:0.786, mean:0.859
 114: max:0.893, min:0.750, mean:0.853
 115: max:0.893, min:0.750, mean:0.856
