   1: max:0.179, min:0.036, mean:0.086
   2: max:0.179, min:0.071, mean:0.128
   3: max:0.179, min:0.107, mean:0.156
   4: max:0.214, min:0.143, mean:0.174
   5: max:0.214, min:0.107, mean:0.178
   6: max:0.250, min:0.107, mean:0.194
   7: max:0.250, min:0.143, mean:0.211
   8: max:0.286, min:0.179, mean:0.237
   9: max:0.286, min:0.179, mean:0.248
  10: max:0.321, min:0.214, mean:0.269
  11: max:0.321, min:0.179, mean:0.284
  12: max:0.357, min:0.250, mean:0.301
  13: max:0.357, min:0.250, mean:0.316
  14: max:0.393, min:0.286, mean:0.334
  15: max:0.393, min:0.286, mean:0.352
  16: max:0.393, min:0.286, mean:0.366
  17: max:0.393, min:0.321, mean:0.378
  18: max:0.429, min:0.321, mean:0.380
  19: max:0.464, min:0.321, mean:0.390
  20: max:0.464, min:0.321, mean:0.407
  21: max:0.464, min:0.286, mean:0.425
  22: max:0.500, min:0.357, mean:0.446
  23: max:0.500, min:0.321, mean:0.448
  24: max:0.500, min:0.357, mean:0.460
  25: max:0.536, min:0.357, mean:0.481
  26: max:0.536, min:0.393, mean:0.487
  27: max:0.536, min:0.393, mean:0.495
  28: max:0.571, min:0.393, mean:0.516
  29: max:0.571, min:0.464, mean:0.528
  30: max:0.607, min:0.464, mean:0.549
  31: max:0.607, min:0.500, mean:0.553
  32: max:0.607, min:0.464, mean:0.556
  33: max:0.607, min:0.464, mean:0.564
  34: max:0.607, min:0.500, mean:0.584
  35: max:0.607, min:0.536, mean:0.589
  36: max:0.607, min:0.500, mean:0.585
  37: max:0.643, min:0.464, mean:0.586
  38: max:0.643, min:0.429, mean:0.587
  39: max:0.643, min:0.536, mean:0.596
  40: max:0.643, min:0.500, mean:0.607
  41: max:0.643, min:0.500, mean:0.623
  42: max:0.643, min:0.571, mean:0.621
  43: max:0.679, min:0.500, mean:0.620
  44: max:0.679, min:0.500, mean:0.620
  45: max:0.679, min:0.536, mean:0.636
  46: max:0.679, min:0.536, mean:0.646
  47: max:0.714, min:0.571, mean:0.654
  48: max:0.714, min:0.607, mean:0.662
  49: max:0.714, min:0.571, mean:0.672
  50: max:0.750, min:0.607, mean:0.692
  51: max:0.750, min:0.536, mean:0.699
  52: max:0.786, min:0.571, mean:0.716
  53: max:0.786, min:0.643, mean:0.730
  54: max:0.786, min:0.643, mean:0.744
  55: max:0.786, min:0.679, mean:0.755
  56: max:0.786, min:0.643, mean:0.760
  57: max:0.821, min:0.643, mean:0.759
  58: max:0.821, min:0.679, mean:0.762
  59: max:0.857, min:0.643, mean:0.766
  60: max:0.857, min:0.607, mean:0.769
  61: max:0.857, min:0.714, mean:0.800
  62: max:0.893, min:0.679, mean:0.818
  63: max:0.893, min:0.679, mean:0.826
  64: max:0.893, min:0.714, mean:0.830
  65: max:0.893, min:0.714, mean:0.842
  66: max:0.893, min:0.750, mean:0.861
  67: max:0.893, min:0.750, mean:0.863
  68: max:0.893, min:0.750, mean:0.861
  69: max:0.893, min:0.786, mean:0.859
  70: max:0.893, min:0.786, mean:0.866
  71: max:0.893, min:0.786, mean:0.866
  72: max:0.893, min:0.750, mean:0.866
  73: max:0.893, min:0.714, mean:0.865
  74: max:0.893, min:0.750, mean:0.861
  75: max:0.893, min:0.750, mean:0.861
  76: max:0.893, min:0.750, mean:0.863
  77: max:0.893, min:0.679, mean:0.862
  78: max:0.893, min:0.750, mean:0.863
  79: max:0.893, min:0.786, mean:0.868
  80: max:0.893, min:0.750, mean:0.867
  81: max:0.893, min:0.786, mean:0.863
  82: max:0.893, min:0.750, mean:0.865
  83: max:0.893, min:0.750, mean:0.865
  84: max:0.893, min:0.750, mean:0.861
  85: max:0.893, min:0.679, mean:0.854
  86: max:0.893, min:0.786, mean:0.854
  87: max:0.893, min:0.714, mean:0.856
  88: max:0.893, min:0.786, mean:0.865
  89: max:0.929, min:0.786, mean:0.867
  90: max:0.929, min:0.786, mean:0.863
  91: max:0.929, min:0.786, mean:0.873
  92: max:0.929, min:0.786, mean:0.884
  93: max:0.929, min:0.821, mean:0.895
  94: max:0.964, min:0.821, mean:0.898
  95: max:0.964, min:0.821, mean:0.903
  96: max:0.964, min:0.786, mean:0.903
  97: max:0.964, min:0.821, mean:0.916
  98: max:0.964, min:0.821, mean:0.934
  99: max:0.964, min:0.821, mean:0.929
 100: max:0.964, min:0.821, mean:0.927
 101: max:0.964, min:0.786, mean:0.935
 102: max:0.964, min:0.821, mean:0.933
 103: max:0.964, min:0.821, mean:0.928
 104: max:0.964, min:0.857, mean:0.932
 105: max:0.964, min:0.821, mean:0.925
 106: max:0.964, min:0.821, mean:0.922
 107: max:0.964, min:0.821, mean:0.923
 108: max:0.964, min:0.821, mean:0.925
 109: max:0.964, min:0.786, mean:0.935
 110: max:1.000, min:0.786, mean:0.933
