   1: max:0.179, min:0.036, mean:0.110
   2: max:0.179, min:0.107, mean:0.146
   3: max:0.214, min:0.143, mean:0.177
   4: max:0.214, min:0.143, mean:0.182
   5: max:0.250, min:0.143, mean:0.206
   6: max:0.250, min:0.107, mean:0.210
   7: max:0.250, min:0.179, mean:0.242
   8: max:0.286, min:0.179, mean:0.241
   9: max:0.321, min:0.214, mean:0.263
  10: max:0.321, min:0.179, mean:0.281
  11: max:0.357, min:0.214, mean:0.301
  12: max:0.393, min:0.214, mean:0.325
  13: max:0.429, min:0.286, mean:0.355
  14: max:0.464, min:0.321, mean:0.384
  15: max:0.464, min:0.321, mean:0.415
  16: max:0.500, min:0.357, mean:0.448
  17: max:0.500, min:0.357, mean:0.460
  18: max:0.500, min:0.393, mean:0.479
  19: max:0.500, min:0.393, mean:0.483
  20: max:0.500, min:0.393, mean:0.482
  21: max:0.536, min:0.393, mean:0.477
  22: max:0.571, min:0.429, mean:0.491
  23: max:0.571, min:0.429, mean:0.521
  24: max:0.607, min:0.464, mean:0.543
  25: max:0.607, min:0.464, mean:0.559
  26: max:0.643, min:0.500, mean:0.584
  27: max:0.643, min:0.500, mean:0.595
  28: max:0.679, min:0.536, mean:0.618
  29: max:0.679, min:0.571, mean:0.630
  30: max:0.714, min:0.571, mean:0.654
  31: max:0.714, min:0.536, mean:0.663
  32: max:0.714, min:0.571, mean:0.686
  33: max:0.714, min:0.607, mean:0.691
  34: max:0.714, min:0.571, mean:0.686
  35: max:0.714, min:0.536, mean:0.682
  36: max:0.714, min:0.571, mean:0.688
  37: max:0.714, min:0.571, mean:0.690
  38: max:0.714, min:0.571, mean:0.686
  39: max:0.750, min:0.607, mean:0.688
  40: max:0.750, min:0.571, mean:0.698
  41: max:0.750, min:0.607, mean:0.712
  42: max:0.750, min:0.643, mean:0.723
  43: max:0.750, min:0.643, mean:0.724
  44: max:0.786, min:0.643, mean:0.730
  45: max:0.786, min:0.607, mean:0.730
  46: max:0.821, min:0.643, mean:0.759
  47: max:0.821, min:0.679, mean:0.768
  48: max:0.857, min:0.714, mean:0.783
  49: max:0.857, min:0.714, mean:0.799
  50: max:0.857, min:0.714, mean:0.820
  51: max:0.857, min:0.750, mean:0.829
  52: max:0.857, min:0.750, mean:0.826
  53: max:0.857, min:0.714, mean:0.830
  54: max:0.857, min:0.750, mean:0.825
  55: max:0.857, min:0.714, mean:0.828
  56: max:0.857, min:0.714, mean:0.824
  57: max:0.857, min:0.714, mean:0.824
  58: max:0.857, min:0.750, mean:0.825
  59: max:0.857, min:0.750, mean:0.829
  60: max:0.857, min:0.750, mean:0.828
  61: max:0.893, min:0.750, mean:0.829
  62: max:0.893, min:0.750, mean:0.837
  63: max:0.893, min:0.750, mean:0.852
  64: max:0.893, min:0.750, mean:0.867
  65: max:0.929, min:0.786, mean:0.866
  66: max:0.929, min:0.714, mean:0.870
  67: max:0.929, min:0.786, mean:0.895
  68: max:0.929, min:0.786, mean:0.898
  69: max:0.929, min:0.821, mean:0.902
  70: max:0.929, min:0.821, mean:0.900
  71: max:0.929, min:0.786, mean:0.894
  72: max:0.929, min:0.750, mean:0.895
  73: max:0.929, min:0.821, mean:0.893
  74: max:0.929, min:0.786, mean:0.899
  75: max:0.964, min:0.821, mean:0.898
  76: max:0.964, min:0.786, mean:0.901
  77: max:0.964, min:0.821, mean:0.919
  78: max:0.964, min:0.786, mean:0.937
  79: max:0.964, min:0.821, mean:0.927
  80: max:0.964, min:0.821, mean:0.927
  81: max:0.964, min:0.857, mean:0.933
  82: max:0.964, min:0.821, mean:0.925
  83: max:0.964, min:0.786, mean:0.927
  84: max:0.964, min:0.821, mean:0.932
  85: max:0.964, min:0.821, mean:0.930
  86: max:0.964, min:0.750, mean:0.934
  87: max:1.000, min:0.821, mean:0.935
