   1: max:0.179, min:0.036, mean:0.134
   2: max:0.214, min:0.143, mean:0.176
   3: max:0.250, min:0.143, mean:0.200
   4: max:0.286, min:0.179, mean:0.221
   5: max:0.286, min:0.214, mean:0.259
   6: max:0.321, min:0.179, mean:0.277
   7: max:0.321, min:0.250, mean:0.300
   8: max:0.321, min:0.250, mean:0.313
   9: max:0.357, min:0.214, mean:0.311
  10: max:0.393, min:0.250, mean:0.333
  11: max:0.429, min:0.250, mean:0.354
  12: max:0.464, min:0.321, mean:0.392
  13: max:0.464, min:0.321, mean:0.427
  14: max:0.500, min:0.393, mean:0.451
  15: max:0.500, min:0.393, mean:0.457
  16: max:0.571, min:0.357, mean:0.484
  17: max:0.571, min:0.429, mean:0.512
  18: max:0.607, min:0.464, mean:0.551
  19: max:0.643, min:0.429, mean:0.560
  20: max:0.679, min:0.500, mean:0.596
  21: max:0.679, min:0.571, mean:0.629
  22: max:0.679, min:0.571, mean:0.659
  23: max:0.679, min:0.571, mean:0.653
  24: max:0.679, min:0.500, mean:0.648
  25: max:0.714, min:0.536, mean:0.655
  26: max:0.714, min:0.571, mean:0.666
  27: max:0.714, min:0.571, mean:0.689
  28: max:0.714, min:0.607, mean:0.686
  29: max:0.714, min:0.571, mean:0.690
  30: max:0.714, min:0.571, mean:0.688
  31: max:0.750, min:0.571, mean:0.686
  32: max:0.750, min:0.607, mean:0.699
  33: max:0.750, min:0.643, mean:0.725
  34: max:0.750, min:0.679, mean:0.730
  35: max:0.750, min:0.643, mean:0.726
  36: max:0.750, min:0.571, mean:0.729
  37: max:0.750, min:0.607, mean:0.725
  38: max:0.750, min:0.643, mean:0.728
  39: max:0.750, min:0.607, mean:0.726
  40: max:0.786, min:0.643, mean:0.721
  41: max:0.786, min:0.643, mean:0.739
  42: max:0.821, min:0.679, mean:0.755
  43: max:0.821, min:0.643, mean:0.766
  44: max:0.821, min:0.679, mean:0.792
  45: max:0.821, min:0.679, mean:0.793
  46: max:0.821, min:0.679, mean:0.795
  47: max:0.821, min:0.679, mean:0.794
  48: max:0.821, min:0.714, mean:0.797
  49: max:0.857, min:0.714, mean:0.794
  50: max:0.893, min:0.643, mean:0.801
  51: max:0.893, min:0.750, mean:0.842
  52: max:0.893, min:0.750, mean:0.861
  53: max:0.893, min:0.714, mean:0.861
  54: max:0.929, min:0.714, mean:0.865
  55: max:0.929, min:0.750, mean:0.876
  56: max:0.929, min:0.821, mean:0.901
  57: max:0.929, min:0.786, mean:0.894
  58: max:0.964, min:0.786, mean:0.904
  59: max:0.964, min:0.821, mean:0.907
  60: max:0.964, min:0.786, mean:0.932
  61: max:0.964, min:0.857, mean:0.930
  62: max:0.964, min:0.857, mean:0.932
  63: max:0.964, min:0.857, mean:0.935
  64: max:0.964, min:0.821, mean:0.934
  65: max:0.964, min:0.821, mean:0.934
  66: max:0.964, min:0.857, mean:0.931
  67: max:0.964, min:0.821, mean:0.929
  68: max:0.964, min:0.786, mean:0.932
  69: max:0.964, min:0.821, mean:0.932
  70: max:0.964, min:0.821, mean:0.931
  71: max:0.964, min:0.821, mean:0.932
  72: max:0.964, min:0.821, mean:0.928
  73: max:0.964, min:0.821, mean:0.929
  74: max:0.964, min:0.786, mean:0.928
  75: max:0.964, min:0.821, mean:0.931
  76: max:0.964, min:0.786, mean:0.930
  77: max:0.964, min:0.857, mean:0.931
  78: max:0.964, min:0.857, mean:0.933
  79: max:0.964, min:0.786, mean:0.928
  80: max:0.964, min:0.821, mean:0.924
  81: max:0.964, min:0.821, mean:0.932
  82: max:0.964, min:0.857, mean:0.933
  83: max:0.964, min:0.821, mean:0.931
  84: max:1.000, min:0.821, mean:0.941
