   1: max:0.250, min:0.000, mean:0.057
   2: max:0.250, min:0.000, mean:0.080
   3: max:0.250, min:0.036, mean:0.109
   4: max:0.250, min:0.036, mean:0.142
   5: max:0.250, min:0.036, mean:0.185
   6: max:0.286, min:0.107, mean:0.212
   7: max:0.250, min:0.143, mean:0.221
   8: max:0.321, min:0.143, mean:0.226
   9: max:0.321, min:0.143, mean:0.231
  10: max:0.321, min:0.143, mean:0.237
  11: max:0.357, min:0.179, mean:0.249
  12: max:0.357, min:0.179, mean:0.264
  13: max:0.357, min:0.179, mean:0.278
  14: max:0.357, min:0.143, mean:0.295
  15: max:0.357, min:0.214, mean:0.309
  16: max:0.357, min:0.214, mean:0.312
  17: max:0.393, min:0.214, mean:0.317
  18: max:0.393, min:0.250, mean:0.320
  19: max:0.393, min:0.214, mean:0.324
  20: max:0.393, min:0.286, mean:0.337
  21: max:0.393, min:0.250, mean:0.339
  22: max:0.393, min:0.250, mean:0.343
  23: max:0.429, min:0.286, mean:0.349
  24: max:0.429, min:0.286, mean:0.355
  25: max:0.464, min:0.286, mean:0.362
  26: max:0.429, min:0.286, mean:0.370
  27: max:0.429, min:0.286, mean:0.362
  28: max:0.429, min:0.286, mean:0.368
  29: max:0.429, min:0.286, mean:0.372
  30: max:0.429, min:0.250, mean:0.386
  31: max:0.429, min:0.286, mean:0.384
  32: max:0.429, min:0.321, mean:0.391
  33: max:0.429, min:0.250, mean:0.390
  34: max:0.464, min:0.286, mean:0.393
  35: max:0.464, min:0.321, mean:0.393
  36: max:0.464, min:0.250, mean:0.399
  37: max:0.464, min:0.321, mean:0.403
  38: max:0.464, min:0.321, mean:0.409
  39: max:0.464, min:0.321, mean:0.405
  40: max:0.464, min:0.321, mean:0.416
  41: max:0.500, min:0.357, mean:0.419
  42: max:0.500, min:0.357, mean:0.424
  43: max:0.500, min:0.321, mean:0.428
  44: max:0.500, min:0.357, mean:0.434
  45: max:0.500, min:0.321, mean:0.436
  46: max:0.500, min:0.357, mean:0.438
  47: max:0.500, min:0.321, mean:0.442
  48: max:0.536, min:0.357, mean:0.446
  49: max:0.536, min:0.321, mean:0.442
  50: max:0.536, min:0.250, mean:0.443
  51: max:0.536, min:0.321, mean:0.448
  52: max:0.536, min:0.321, mean:0.454
  53: max:0.536, min:0.357, mean:0.459
  54: max:0.536, min:0.357, mean:0.469
  55: max:0.571, min:0.357, mean:0.476
  56: max:0.536, min:0.393, mean:0.471
  57: max:0.536, min:0.393, mean:0.474
  58: max:0.536, min:0.393, mean:0.474
  59: max:0.536, min:0.393, mean:0.475
  60: max:0.536, min:0.357, mean:0.471
  61: max:0.571, min:0.357, mean:0.469
  62: max:0.571, min:0.393, mean:0.475
  63: max:0.607, min:0.393, mean:0.479
  64: max:0.607, min:0.357, mean:0.476
  65: max:0.607, min:0.357, mean:0.477
  66: max:0.607, min:0.393, mean:0.490
  67: max:0.607, min:0.429, mean:0.496
  68: max:0.607, min:0.357, mean:0.503
  69: max:0.571, min:0.357, mean:0.504
  70: max:0.571, min:0.357, mean:0.512
  71: max:0.571, min:0.429, mean:0.515
  72: max:0.571, min:0.429, mean:0.522
  73: max:0.571, min:0.393, mean:0.521
  74: max:0.571, min:0.429, mean:0.520
