   1: max:0.179, min:0.036, mean:0.105
   2: max:0.214, min:0.071, mean:0.159
   3: max:0.250, min:0.143, mean:0.183
   4: max:0.250, min:0.143, mean:0.209
   5: max:0.250, min:0.179, mean:0.227
   6: max:0.250, min:0.179, mean:0.243
   7: max:0.286, min:0.179, mean:0.242
   8: max:0.286, min:0.179, mean:0.250
   9: max:0.321, min:0.214, mean:0.269
  10: max:0.321, min:0.214, mean:0.279
  11: max:0.357, min:0.250, mean:0.293
  12: max:0.357, min:0.250, mean:0.314
  13: max:0.357, min:0.250, mean:0.331
  14: max:0.393, min:0.286, mean:0.344
  15: max:0.429, min:0.250, mean:0.352
  16: max:0.429, min:0.286, mean:0.376
  17: max:0.464, min:0.321, mean:0.391
  18: max:0.464, min:0.286, mean:0.410
  19: max:0.464, min:0.357, mean:0.431
  20: max:0.500, min:0.357, mean:0.450
  21: max:0.500, min:0.357, mean:0.460
  22: max:0.536, min:0.393, mean:0.475
  23: max:0.536, min:0.393, mean:0.487
  24: max:0.536, min:0.357, mean:0.489
  25: max:0.536, min:0.429, mean:0.507
  26: max:0.571, min:0.429, mean:0.519
  27: max:0.571, min:0.429, mean:0.523
  28: max:0.607, min:0.429, mean:0.537
  29: max:0.607, min:0.464, mean:0.560
  30: max:0.643, min:0.464, mean:0.579
  31: max:0.643, min:0.500, mean:0.594
  32: max:0.679, min:0.500, mean:0.602
  33: max:0.679, min:0.536, mean:0.621
  34: max:0.679, min:0.536, mean:0.627
  35: max:0.679, min:0.536, mean:0.645
  36: max:0.679, min:0.571, mean:0.657
  37: max:0.679, min:0.536, mean:0.656
  38: max:0.714, min:0.571, mean:0.656
  39: max:0.714, min:0.536, mean:0.660
  40: max:0.714, min:0.607, mean:0.661
  41: max:0.714, min:0.607, mean:0.680
  42: max:0.714, min:0.500, mean:0.692
  43: max:0.750, min:0.607, mean:0.688
  44: max:0.750, min:0.607, mean:0.692
  45: max:0.750, min:0.607, mean:0.703
  46: max:0.750, min:0.607, mean:0.714
  47: max:0.750, min:0.643, mean:0.724
  48: max:0.786, min:0.607, mean:0.727
  49: max:0.786, min:0.643, mean:0.723
  50: max:0.821, min:0.679, mean:0.740
  51: max:0.821, min:0.607, mean:0.756
  52: max:0.821, min:0.679, mean:0.773
  53: max:0.857, min:0.607, mean:0.777
  54: max:0.857, min:0.714, mean:0.793
  55: max:0.857, min:0.714, mean:0.801
  56: max:0.857, min:0.750, mean:0.815
  57: max:0.857, min:0.714, mean:0.823
  58: max:0.857, min:0.679, mean:0.830
  59: max:0.857, min:0.714, mean:0.825
  60: max:0.893, min:0.679, mean:0.827
  61: max:0.893, min:0.786, mean:0.841
  62: max:0.893, min:0.714, mean:0.838
  63: max:0.893, min:0.750, mean:0.853
  64: max:0.893, min:0.786, mean:0.862
  65: max:0.893, min:0.750, mean:0.865
  66: max:0.893, min:0.750, mean:0.866
  67: max:0.893, min:0.750, mean:0.860
  68: max:0.893, min:0.750, mean:0.858
  69: max:0.893, min:0.786, mean:0.856
  70: max:0.893, min:0.786, mean:0.858
  71: max:0.893, min:0.786, mean:0.863
  72: max:0.893, min:0.786, mean:0.866
  73: max:0.893, min:0.714, mean:0.860
  74: max:0.893, min:0.750, mean:0.863
  75: max:0.893, min:0.750, mean:0.860
  76: max:0.893, min:0.750, mean:0.861
  77: max:0.893, min:0.750, mean:0.860
  78: max:0.929, min:0.786, mean:0.866
  79: max:0.929, min:0.786, mean:0.865
  80: max:0.929, min:0.786, mean:0.875
  81: max:0.929, min:0.786, mean:0.882
  82: max:0.929, min:0.750, mean:0.897
