   1: max:0.190, min:0.000, mean:0.065
   2: max:0.190, min:0.000, mean:0.090
   3: max:0.190, min:0.000, mean:0.105
   4: max:0.190, min:0.048, mean:0.120
   5: max:0.238, min:0.048, mean:0.139
   6: max:0.238, min:0.095, mean:0.162
   7: max:0.238, min:0.095, mean:0.172
   8: max:0.238, min:0.095, mean:0.183
   9: max:0.238, min:0.143, mean:0.188
  10: max:0.286, min:0.048, mean:0.188
  11: max:0.286, min:0.143, mean:0.196
  12: max:0.286, min:0.143, mean:0.205
  13: max:0.286, min:0.095, mean:0.217
  14: max:0.286, min:0.143, mean:0.230
  15: max:0.286, min:0.143, mean:0.237
  16: max:0.286, min:0.143, mean:0.252
  17: max:0.333, min:0.143, mean:0.257
  18: max:0.381, min:0.143, mean:0.268
  19: max:0.381, min:0.190, mean:0.277
  20: max:0.381, min:0.143, mean:0.284
  21: max:0.381, min:0.190, mean:0.291
  22: max:0.381, min:0.190, mean:0.295
  23: max:0.381, min:0.190, mean:0.298
  24: max:0.429, min:0.190, mean:0.297
  25: max:0.429, min:0.190, mean:0.309
  26: max:0.429, min:0.143, mean:0.314
  27: max:0.429, min:0.190, mean:0.321
  28: max:0.429, min:0.238, mean:0.334
  29: max:0.429, min:0.238, mean:0.346
  30: max:0.429, min:0.238, mean:0.355
  31: max:0.429, min:0.238, mean:0.357
  32: max:0.429, min:0.286, mean:0.366
  33: max:0.429, min:0.238, mean:0.373
  34: max:0.429, min:0.190, mean:0.378
  35: max:0.429, min:0.286, mean:0.379
  36: max:0.429, min:0.238, mean:0.384
  37: max:0.429, min:0.286, mean:0.386
  38: max:0.429, min:0.286, mean:0.384
  39: max:0.476, min:0.286, mean:0.392
  40: max:0.476, min:0.286, mean:0.396
  41: max:0.476, min:0.238, mean:0.400
  42: max:0.524, min:0.238, mean:0.390
  43: max:0.524, min:0.286, mean:0.393
  44: max:0.524, min:0.238, mean:0.396
  45: max:0.524, min:0.286, mean:0.396
  46: max:0.476, min:0.286, mean:0.400
  47: max:0.476, min:0.333, mean:0.407
  48: max:0.524, min:0.286, mean:0.410
  49: max:0.476, min:0.333, mean:0.420
  50: max:0.476, min:0.333, mean:0.422
  51: max:0.524, min:0.286, mean:0.430
  52: max:0.524, min:0.286, mean:0.429
  53: max:0.524, min:0.238, mean:0.436
  54: max:0.524, min:0.286, mean:0.440
  55: max:0.524, min:0.286, mean:0.452
  56: max:0.571, min:0.333, mean:0.453
  57: max:0.571, min:0.333, mean:0.470
  58: max:0.571, min:0.286, mean:0.464
  59: max:0.571, min:0.333, mean:0.470
  60: max:0.524, min:0.333, mean:0.472
  61: max:0.524, min:0.333, mean:0.478
  62: max:0.524, min:0.381, mean:0.478
  63: max:0.571, min:0.381, mean:0.481
  64: max:0.571, min:0.333, mean:0.487
  65: max:0.571, min:0.381, mean:0.488
  66: max:0.571, min:0.333, mean:0.497
  67: max:0.571, min:0.381, mean:0.504
  68: max:0.571, min:0.381, mean:0.505
  69: max:0.571, min:0.381, mean:0.506
  70: max:0.619, min:0.381, mean:0.502
  71: max:0.619, min:0.381, mean:0.503
  72: max:0.571, min:0.381, mean:0.487
  73: max:0.619, min:0.333, mean:0.492
  74: max:0.619, min:0.381, mean:0.498
  75: max:0.571, min:0.381, mean:0.490
